"Name";"OS";"CreationDate"
"DIS-RECOV-WSO2-ELK-OPAB";"Red Hat Enterprise Linux 9 (64-bit)";"16/08/2024 15:51:21"
"DIS-RECOV-WSO2-APIW-ENT-01";"Red Hat Enterprise Linux 9 (64-bit)";"16/08/2024 11:05:07"
"DIS-RECOV-WSO2-APIW-ENT-02";"Red Hat Enterprise Linux 9 (64-bit)";"16/08/2024 11:27:55"
"DIS-RECOV-WSO2-APIW-GRP-02";"Red Hat Enterprise Linux 9 (64-bit)";"16/08/2024 11:54:59"
"DIS-RECOV-WSO2-FW";"FreeBSD 11 (64-bit)";"22/08/2024 10:29:37"
"DIS-RECOV-WSO2-DB-03";"Red Hat Enterprise Linux 9 (64-bit)";"26/09/2024 07:29:22"
"DIS-RECOV-WSO2-DB-01";"Red Hat Enterprise Linux 9 (64-bit)";"25/09/2024 04:48:27"
"DIS-RECOV-WSO2-APIW-KM-01";"Red Hat Enterprise Linux 9 (64-bit)";"16/08/2024 14:55:05"
"DIS-RECOV-WSO2-API-MANAGER-02";"Red Hat Enterprise Linux 9 (64-bit)";"16/08/2024 10:50:58"
"DIS-RECOV-WSO2-JUMPBOX";"Microsoft Windows Server 2022 (64-bit)";"16/08/2024 16:07:03"
"DIS-RECOV-WSO2-DB-02";"Red Hat Enterprise Linux 9 (64-bit)";"26/09/2024 07:27:51"
"SRV-BACKUP-POC-AQUARELLE-OFF";"Ubuntu Linux (64-bit)";"28/05/2024 07:59:40"
"STX-FW-POC-AQUARELLE";"FreeBSD 11 (64-bit)";"28/05/2024 07:27:17"
"SRV-MAIN-POC-AQUARELLE";"Ubuntu Linux (64-bit)";"28/05/2024 07:57:31"
"TGN-INFRA-ACCESS-TEST-BACKUP-EXTERNAL-UBUNTU";"Ubuntu Linux (64-bit)";"27/07/2022 08:45:31"
"TGN-ACCESS-MANAGEMENT-SRV";"Microsoft Windows Server 2008 R2 (64-bit)";"01/01/1970 00:00:00"
"TGN-INFRA-IMS-BACKUP-GAL";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"TGN-ACCESS-INFRA-FRAUDBUSTER";"Ubuntu Linux (64-bit)";"05/02/2024 12:00:26"
"TGN-INFRA-DPQP-FTPSERVER";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"VM-SRV-UNIF-UNIV";"Ubuntu Linux (64-bit)";"15/04/2026 12:49:33"
"TGN-INFRA-POC-PERFWAVE-04";"CentOS 7 (64-bit)";"27/12/2021 07:40:48"
"TGN-ACCESS-DC-03";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 00:00:00"
"TGN-ACCESS-SRV-TACACS";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"TGN-INFRA-REPORTING-NEW-PROD-CLONE";"Ubuntu Linux (64-bit)";"31/10/2025 19:22:38"
"TGN-INFRA-POC-PERFWAVE-03";"CentOS 7 (64-bit)";"27/12/2021 07:40:09"
"TGN-INFRA-CA3LE";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"TGN-INFRA-ACCESS-DSCI-SMOKEPING";"Ubuntu Linux (64-bit)";"09/03/2022 14:04:02"
"TGN-INFRA-TEST-HW";"Microsoft Windows Server 2016 or later (64-bit)";"04/02/2021 08:26:16"
"TGN-ACCESS-VM-WEB-INTERV-MGMT-BSS";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"TGN-INFRA-POC-PERFWAVE-02";"CentOS 7 (64-bit)";"23/12/2021 12:30:35"
"TGN-INFRA-ACCESS-VSAPC-BACKUP";"Ubuntu Linux (64-bit)";"27/01/2021 13:57:38"
"TGN-ACCESS-BB-LICENSE";"Ubuntu Linux (64-bit)";"23/05/2023 07:07:30"
"TGN-INFRA-ACCESS- SingleStoreDB-2";"Red Hat Enterprise Linux 8 (64-bit)";"23/09/2022 05:48:54"
"TGN-ACCES-MGMT-CTRL-UBIQUITI-EOL";"Ubuntu Linux (64-bit)";"14/06/2021 07:32:04"
"TGN-INFRA-ACCESS- SingleStoreDB-3";"Red Hat Enterprise Linux 8 (64-bit)";"29/09/2022 14:19:14"
"TGN-INFRA-ACCESS- SingleStoreDB-1";"Red Hat Enterprise Linux 8 (64-bit)";"23/09/2022 05:24:07"
"TGN-INFRA-ACCESS-FTP-BSS-DTG-82171";"Red Hat Enterprise Linux 8 (64-bit)";"03/05/2021 13:19:51"
"TGN-INFRA-NR";"Ubuntu Linux (64-bit)";"08/03/2021 06:36:42"
"TGN-ACCESS-MGMT-COLBERT-EOL";"Ubuntu Linux (64-bit)";"11/07/2023 10:51:41"
"TGN-ACCES-MGMT-CTRL-UBIQUITI";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"TGN-INFRA-UCEPROTECT";"FreeBSD 13 or later versions (64-bit)";"25/03/2022 11:37:57"
"TGN-ACCESS-DSCI-TERMINAL-SERVER";"Ubuntu Linux (64-bit)";"05/12/2025 07:52:21"
"TGN-INFRA-ACCESS-BACKUP-DPQP";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 00:00:00"
"STX-DTG-CERT-BOT";"Red Hat Enterprise Linux 8 (64-bit)";"03/07/2024 07:29:39"
"vCLS-c41276a4-d74f-11ed-8318-3a68dd993977";"VMware Photon CRX (64-bit)";"12/06/2026 00:14:14"
"vCLS-d0b3a0ee-d775-11ed-b4e2-3a68dd98faeb";"VMware Photon CRX (64-bit)";"28/05/2026 13:21:32"
"vCLS-0f18b05c-d61d-11ed-8d32-3a68dd993687";"VMware Photon CRX (64-bit)";"27/05/2026 16:15:04"
"vCLS-36d993d4-832f-11ed-ac99-3a68dd95fcbf";"VMware Photon CRX (64-bit)";"26/04/2026 11:47:45"
"TLM-ALFRED-APP-PROD-01";"Ubuntu Linux (64-bit)";"15/03/2024 19:06:54"
"TLM-ALFRED-APP-PROD-02";"Ubuntu Linux (64-bit)";"15/03/2024 19:05:58"
"TGN-VIRTUAL-ROUTER-1-OSCP-DHCP";"Other (32-bit)";"01/01/1970 00:00:00"
"centreon-central-21.04";"CentOS 4/5/6/7 (64-bit)";"30/08/2022 10:40:43"
"TGN-AXIAN-SERVICES-ESM-MIGRATION";"Microsoft Windows Server 2008 R2 (64-bit)";"18/03/2024 20:17:41"
"STX-WIN22-TEST-01";"Microsoft Windows Server 2022 (64-bit)";"20/03/2025 07:48:36"
"STX-UBU-TOOLS";"Ubuntu Linux (64-bit)";"06/03/2025 07:25:37"
"VIA-ASSURANCES-FTG-01";"Other 4.x Linux (64-bit)";"17/03/2025 14:05:29"
"VIA-ASSURANCES-API-SERVER-02";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 13:50:22"
"VIA-ASSURANCES-SQL-SERVER-01";"Microsoft Windows Server 2022 (64-bit)";"18/03/2025 06:33:47"
"VIA-ASSURANCES-SQL-MONGODB-SRV-01";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 13:51:44"
