"Name";"OS";"CreationDate"
"STX-MADA-AIRLINES-RPACKSQL";"Microsoft Windows Server 2012 (64-bit)";"19/09/2024 05:30:37"
"STX-MADA-AIRLINES-ADSSERVER";"Other (32-bit)";"18/09/2024 11:28:41"
"STX-MADA-AIRLINES-SAGE";"Microsoft Windows Server 2016 (64-bit)";"01/08/2024 12:58:57"
"FREESN-TEST-ALFRED-K8S-04";"Ubuntu Linux (64-bit)";"25/11/2024 16:15:52"
"FREESN-TEST-ALFRED-K8S-03";"Ubuntu Linux (64-bit)";"25/11/2024 16:23:39"
"FREESN-TEST-ALFRED-DB-01";"Ubuntu Linux (64-bit)";"13/06/2024 06:38:56"
"FREESN-TEST-ALFRED-K8S-05";"Ubuntu Linux (64-bit)";"25/11/2024 16:15:51"
"FREESN-TEST-ALFRED-K8S-01";"Ubuntu Linux (64-bit)";"25/11/2024 16:09:27"
"FREESN-TEST-ALFRED-K8S-02";"Ubuntu Linux (64-bit)";"25/11/2024 16:09:27"
"FREESN-TEST-ALFRED-APP-01";"Ubuntu Linux (64-bit)";"12/09/2024 14:28:42"
"FREESN-TEST-ALFRED-DB-02";"Ubuntu Linux (64-bit)";"13/06/2024 06:38:56"
"CUST-VM-FIRSTIMMO2 - REQ-20160527-03844";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"STX-TPL-INFRA-DEB12";"Debian GNU/Linux 12 (64-bit)";"08/06/2026 06:03:22"
"MVO-TPL-WIN-SRV-2022";"Microsoft Windows Server 2022 (64-bit)";"02/06/2026 07:28:41"
"MVO-TPL-INFRA-RHEL9-clone";"Red Hat Enterprise Linux 9 (64-bit)";"25/11/2025 05:52:56"
"MVO-TPL-UBU24";"Ubuntu Linux (64-bit)";"02/06/2026 07:29:13"
"TEMPLATE-PFSENSE-STELLARIX-25";"Other (64-bit)";"03/09/2025 15:00:52"
"STX-BNI-VROPS-8.12";"Other 3.x Linux (64-bit)";"24/09/2023 05:08:32"
"STX-INFRA-MVOLA-MGMT-JUMPBOX";;"05/04/2023 19:47:19"
"STX-REDHAT-SATTELLITE";"Red Hat Enterprise Linux 9 (64-bit)";"20/08/2024 21:27:14"
"CUST-VM-NIAG";;"20/03/2024 06:43:53"
"STX-TOM-INFRA-FIREWALL-TARANTULA";"FreeBSD 12 (64-bit)";"26/12/2022 17:53:28"
"STX-CLONE-FIREWALL-TARANTULA";;"26/06/2023 17:23:01"
"CUST-VM-TOWERCO - REQ-20151102-02951";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"MV-mUnit-Mvola";"Other 6.x or later Linux (64-bit)";"08/11/2023 13:55:43"
"TGN-VIRTUAL-ROUTER-CYBERTEQ";;"26/03/2025 06:20:18"
"STX-INFRA-CHR-MUNIT";;"17/07/2023 13:58:14"
"STX-MUNIT-SRV";"Other 6.x or later Linux (64-bit)";"20/07/2023 12:21:09"
"CUST-VM-DIRICKX-1-ACT-20160930-02101";;"01/01/1970 00:00:00"
"CUST-VM-MADAO-IX5196";"Ubuntu Linux (64-bit)";"09/07/2024 07:45:14"
"CUST-VM-ATEA-ACT-20161220-02918";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"STX-CUST-VM-ENC";"Ubuntu Linux (64-bit)";"09/02/2024 11:49:06"
"CUST-VM-PARISPORT-SMPP-WIN2008- ACT-20141223-07200";;"01/01/1970 00:00:00"
"CUST-VM-PARISPORT-WEBSERVER-WIN-ENT-01-89 - REQ-20150821-04020";;"01/01/1970 00:00:00"
"CUST-VM-PARISPORT-WEBSERVER-WIN-STD-02-91 - ACT-20141223-07200";;"01/01/1970 00:00:00"
"CUST-VM-PARISPORT-WEBSERVER-WIN-STD-01-90 - ACT-20141223-07200";;"01/01/1970 00:00:00"
"CUST-VM-PARISPORT-FW-ACT-20141223-07200";"FreeBSD (32-bit)";"01/01/1970 00:00:00"
"CUST-VM-PARISPORT-WEB-SERVER- ACT-20141223-07200";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"OLD - CUST-VM-PARKLIFE-TGC-20170311-00007";;"01/01/1970 00:00:00"
"CUST-VM-BNI-ACT-20161104-00125";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-UCM - REQ-20161031-09210";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-UCM-2 - ACT-20170921-01271";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PAOSITRA-01";"Ubuntu Linux (64-bit)";"09/10/2023 06:15:34"
"CUST-VM-PAOSITRA-02";;"15/03/2024 13:19:45"
"CUST-VM-DOUANE-REQ-20170117-00542";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"STX-CUST-VM-TAGIP-CAM";"Microsoft Windows Server 2022 (64-bit)";"26/02/2024 08:34:25"
"CUST-VM-TAGIP-ACT-20160527-03924";;"01/01/1970 00:00:00"
"CUST-VM-TAGIP-3- ACT-20160527-03924";;"01/01/1970 00:00:00"
"CUST-VM-TAGIP-2-ACT-20160527-03924";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-CNTEMAD-REQ-20160408-04282-RESILIE";;"01/01/1970 00:00:00"
"mvo-tnr1-trs-06";"Ubuntu Linux (64-bit)";"09/02/2026 06:25:20"
"STX-TRS-PROXY-CUSTOMER-TNR1";"Ubuntu Linux (64-bit)";"04/12/2025 10:41:35"
